Interfaces,Methods,Roles,,,,,,,,,,,,,,,,,,,,Comments,,,,,,,
,,B/D,Cust-B/D,MM,DPM,Firm,Class Disp,Firm Disp,Help Desk,System,Root,Exch B/D,ProdMaint,TFL,EOP,HELP_DESK_OMT,BOOTH_OMT,DISPLAY_OMT,CROWD_OMT,REPORTING,OPRA,(NR) = Non-repudiation logging is ON,,,,,,,
Service Interfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlertService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,alert,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,createSatisfactionAlert,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getAlerts,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getSatisfactionAlertById,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,resolveAlert,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
AlertEventService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,subscribeAlertEvent,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,unsubscribeAlertEvent,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
IntermarketDataQueryService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,getIntermarketForProduct,,,x,x,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getIntermarketForClass,,,x,x,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
BestQuoteService,,,,,,,,,,,,,,,,,,,,,,No operations in interface,,,,,,,
CalendarAdminService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,addDay,,,,,,,,x(NR),x,x,,,,,x(NR),,,,,,,,,,,,,
,removeDay,,,,,,,,x(NR),x,x,,,,,x(NR),,,,,,,,,,,,,
,getDaysList,,,,,,,,x,x,x,,,,,x,,,,,,,,,,,,,
CalendarAdminEventService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,subscribeCalendarUpdateEvent,,,,,,,,x(NR),x,x,,,,,x(NR),,,,,,,,,,,,,
,unsubscribeCalendarUpdateEvent,,,,,,,,x(NR),x,x,,,,,x(NR),,,,,,,,,,,,,
ExchangeService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,addExchange,,,,,,,,x (NR),x,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,removeExchange,,,,,,,,x (NR),x,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,getExchangeForKey,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getExchangeForAcronym,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,setHomeExchangeForProductType,,,,,,,,x (NR),x,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,getHomeExchangeKey,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getHomeExchange,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,updateExchange,,,,,,,,x (NR),x,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,getAllExchanges,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
FirmMaintenanceService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,getFirmByKey,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getFirmByNumber,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getFirmByAcronym,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getFirms,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,addFirm,,,,,,,,x (NR),x (NR),x,,x (NR),x,,x (NR),,,,,,,,,,,,,
,updateFirm,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
FirmService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,getFirms,x,x,x,,x,,x,x,x,x,x,x,x,,x,x,,x,,,,,,,,,,
,registerForDirectedAIM,x,x,x,,x,,x,x,x,x,x,x,x,,x,x,,x,,,,,,,,,,
